Station,Earthquake_code,maxa,maxv,maxd,nStory,height,year,strutype,Magnitude,Epicentral Distance (km),Vs30 (m/sec),Peak Ground Acceleration (PGA),Peak Ground Velocity (PGV),Peak Ground Displacement (PGD),Vmax/Amax,Acceleration Root Mean Square(ARMS),Velocity Root Mean Square(VRMS),Displacement Root Mean Square(DRMS),Cumulative Absolute Velocity (CAV),Cumulative Absolute Displacement (CAD),Cumulative Absolute Energy (CAI),Significant Duration,Bracketed Duration,Peak Spectral Acceleration (SPA),Peak Spectral Velocity (SPV),Characteristic Intensity (Ic),Acceleration Spectrum Intensity (ASI),Velocity Spectrum Intensity (VSI),Predominant Period (Tp),Arias Intensity
CE13611,ci38457511,0.145959,0.0236884,0.0143519,1,4.572,1971,S2,7.1,254.1,229,0.116229,0.023657432,0.01427865,0.20354156,0.021917375,0.005535881,0.003870841,1.525868417,0.380207045,0.258001861,61.02,9.3,0.48655698,0.075397282,0.033720553,0.110658644,0.099938466,0.4,0.008307143
CE23516,ci10275733,0.346761,0.0212904,0.00161626,3,12.192,1983,S1,4.7,49.5,301,0.353108,0.013334888,0.000522523,0.037764332,0.018358693,0.000701675,5.92E-05,0.356704022,0.017488358,0.001986452,4.595,1.225,1.024581616,0.031664041,0.019586574,0.190854968,0.0367589,0.18,0.003346001
CE23516,ci10370141,1.36775,0.119308,0.0114381,3,12.192,1983,S1,4.5,80.8,301,1.00249,0.072577519,0.004665154,0.07239725,0.05338625,0.003154204,0.000307982,1.147413801,0.071722187,0.008067291,5.51,6.84,2.813073054,0.116042647,0.108941015,0.798302095,0.210752088,0.22,0.035596254
CE23516,ci10410337,0.286598,0.0189481,0.00143413,3,12.192,1983,S1,4.7,40.9,301,0.0956317,0.004853971,0.000377445,0.050756923,0.010686085,0.000607977,5.54E-05,0.345103033,0.021628753,0.002271649,13.76,0,0.329003267,0.018948776,0.008906039,0.082400145,0.018765743,0.3,0.001188506
CE23516,ci10530013,0.161444,0.0110443,0.000919401,3,12.192,1983,S1,4.3,28.9,301,0.0859922,0.003970058,0.000331443,0.046167658,0.00517295,0.000311874,2.68E-05,0.132869023,0.008193071,0.000746693,16.28,0,0.186914254,0.010723629,0.002833489,0.056837239,0.01209311,0.27,0.000248517
CE23516,ci10736069,0.70539,0.0615416,0.00653291,3,12.192,1983,S1,5.4,217,301,0.175208,0.014872129,0.00229636,0.084882704,0.023448628,0.002842183,0.000621265,0.984711664,0.134818234,0.031990986,22.36,5.77,0.731424949,0.061423494,0.031914621,0.160067404,0.081624141,0.53,0.006955251
CE23516,ci14383980,0.722507,0.0452385,0.00505821,3,12.192,1983,S1,5.4,97.7,301,0.514442,0.02921502,0.002213865,0.056789725,0.03374766,0.002251724,0.000384069,1.42626017,0.129613546,0.026096982,17.91,13.48,1.891072578,0.064815615,0.064428405,0.393329822,0.095851102,0.09,0.019695271
CE23516,ci14607652,0.991164,0.0963172,0.0713519,3,12.192,1983,S1,7.2,393.1,301,0.216702,0.058496438,0.070535333,0.269939538,0.030523342,0.012819047,0.016094702,2.017377205,0.824622379,0.982856831,40.1,14.46,1.067072129,0.132246307,0.056937782,0.201468758,0.108310208,0.55,0.017006693
CE23516,ci37374687,0.509528,0.0402484,0.00431577,3,12.192,1983,S1,5.2,115.7,301,0.184532,0.01279792,0.001389452,0.06935339,0.019785564,0.001803567,0.000273875,0.676330866,0.068967728,0.012132442,16,3.74,0.640354027,0.050405913,0.02377848,0.182046038,0.054905219,0.39,0.004575838
CE23516,ci39756418,0.494801,0.040417,0.00341873,3,12.192,1983,S1,4.2,6,301,0.711014,0.024797991,0.001386111,0.034876937,0.03630141,0.001211839,9.45E-05,0.622322435,0.025022334,0.002554403,3.5,3.55,2.44999822,0.061881198,0.058688294,0.412492434,0.076855727,0.11,0.015192539
CE23516,ci40455759,0.242276,0.0171022,0.00128775,3,12.192,1983,S1,4.2,65.7,301,0.11054,0.00404937,0.000294843,0.036632619,0.01144428,0.000544951,4.98E-05,0.324648525,0.018076268,0.00181899,11.58,0.63,0.433551185,0.016289407,0.010243108,0.097788796,0.016376777,0.22,0.001467999
CE23516,ci40727543,0.12569,0.00798266,0.000595523,3,12.192,1983,S1,3.9,4.8,301,0.0649826,0.002953637,0.000191859,0.045452738,0.005392764,0.00025906,2.41E-05,0.149209087,0.007640766,0.000813372,11.77,0,0.205560991,0.007840392,0.00316816,0.047933715,0.009516727,0.13,0.000298026
CE23516,ci40735352,0.331292,0.0226641,0.00168531,3,12.192,1983,S1,4.1,40.6,301,0.136356,0.005805386,0.000347602,0.042575218,0.00805371,0.000508018,4.83E-05,0.189178346,0.013426263,0.001456641,7.68,0.14,0.30588019,0.01801611,0.005871728,0.093799324,0.019363099,0.21,0.000685467
CE23540,ci39756418,0.805091,0.0155524,0.00065003,1,8.8392,1973,C2,4.2,51.5,279,0.487133,0.00854656,0.000422281,0.017544614,0.022217619,0.000528832,3.83E-05,0.389885924,0.014020694,0.001344794,4.2,1.87,1.984269436,0.038140965,0.026904085,0.131435056,0.025124919,0.12,0.005216627
CE23540,ci40455759,0.79663,0.022019,0.00116649,1,8.8392,1973,C2,4.2,48,279,0.329357,0.012240733,0.0006835,0.037165548,0.017800176,0.000792571,5.47E-05,0.351530618,0.017576107,0.00158464,6.48,1.15,0.954758431,0.038018571,0.018849798,0.224294875,0.037632806,0.25,0.003196245
CE23540,ci40735352,0.272639,0.00921692,0.000305413,1,8.8392,1973,C2,4.1,43.2,279,0.0722628,0.002779484,0.000200108,0.038463555,0.004780983,0.000273156,2.64E-05,0.112853862,0.007137301,0.000800497,11.315,0,0.23268555,0.008840185,0.002517618,0.054113509,0.009446729,0.18,0.000212282
CE23548,ci15520985,0.139327,0.00408532,0.000406912,2,8.5344,1971,C2,4.6,31.7,351,0.140606,0.003654593,0.000443474,0.02599173,0.00976779,0.000569618,0.000117017,0.253722911,0.017485004,0.005340011,11.38,0.035,0.454360569,0.014609247,0.007457144,0.095088011,0.016255396,0.13,0.00091159
CE23548,ci37374687,0.135042,0.0101947,0.000941056,2,8.5344,1971,C2,5.2,105.4,351,0.122705,0.009777445,0.000949078,0.079682534,0.014257449,0.001178187,0.000184863,0.404334268,0.038317323,0.007263398,12.935,0.745,0.558410198,0.040813345,0.013186767,0.12737039,0.034231431,0.45,0.001952926
CE23548,ci37713424,0.231763,0.00794569,0.000266663,2,8.5344,1971,C2,3.7,5.4,351,0.162495,0.006702315,0.000245711,0.041246284,0.00804306,0.000301524,3.52E-05,0.142078449,0.005920928,0.001626572,4.505,0.1,0.587174389,0.013189451,0.005587372,0.087909248,0.018750963,0.1,0.000621505
CE23548,ci38167848,0.357315,0.0118792,0.000971546,2,8.5344,1971,C2,4.5,39.3,351,0.272049,0.010885305,0.000890798,0.040012296,0.014219412,0.000697875,7.04E-05,0.328834193,0.017386069,0.003044953,7.1,1.7,0.529141065,0.024239159,0.014101001,0.163326954,0.032728661,0.12,0.002239078
CE24344,ci14383980,0.722552,0.0380937,0.00304594,2,8.5344,1975,S1,5.4,87.7,307,0.234574,0.021920922,0.002352519,0.093449922,0.035668566,0.003398968,0.000517103,1.487212296,0.157236348,0.025823595,22.56,14.065,1.045079753,0.071045871,0.060359506,0.2852935,0.095362563,0.33,0.016355227
CE24344,ci15237281,0.139048,0.00754538,0.000636652,2,8.5344,1975,S1,3.9,10.2,307,0.0766946,0.004558829,0.000553708,0.05944133,0.007260689,0.000509502,5.52E-05,0.156777962,0.011406782,0.001427394,9.135,0,0.234606426,0.014483981,0.0046242,0.068366618,0.017753981,0.15,0.00047157
CE24344,ci38457511,0.358567,0.058869,0.0320634,2,8.5344,1975,S1,7.1,126.5,307,0.225,0.054515572,0.030784884,0.242291432,0.03717592,0.010092614,0.007216737,2.804950223,0.760356275,0.531030459,49.99,30.74,0.847834977,0.157793837,0.079943899,0.215261915,0.173122406,0.57,0.027527058
CE24344,ci39645386,0.1711,0.0124749,0.00188891,2,8.5344,1975,S1,5.1,61,307,0.0903107,0.008451367,0.001756505,0.093581017,0.015075429,0.001637885,0.000403445,0.544997898,0.063901911,0.015409834,22.01,0,0.407254123,0.026682115,0.015015868,0.102797234,0.042423865,0.29,0.002394871
CE24344,ci40699207,0.122573,0.00621827,0.000395667,2,8.5344,1975,S1,4.4,3.6,307,0.063985,0.003298376,0.00027429,0.0515492,0.005826895,0.000386873,4.13E-05,0.164938221,0.011580624,0.001453072,14.155,0,0.18431443,0.00975356,0.003455226,0.050610687,0.010941117,0.32,0.00032807
CE24344,ci40865184,0.298683,0.0126902,0.0012609,2,8.5344,1975,S1,5.2,103.1,307,0.122875,0.008237689,0.001033761,0.067041212,0.015364654,0.00144759,0.000237642,0.51259576,0.051988032,0.009186555,18.685,0.205,0.466177695,0.029461306,0.015126206,0.115624807,0.040481217,0.27,0.002384449
CE24454,ci14601172,1.04071,0.0530772,0.00312003,3,11.8872,2007,C2,4.4,16,390,0.675265,0.024715854,0.001373262,0.036601711,0.028550847,0.001086568,6.36E-05,0.442490485,0.019679063,0.001514566,3.12,2.01,1.754815461,0.055348686,0.040649729,0.394643273,0.074546828,0.15,0.009267171
CE24460,CI38443183,0.332534,0.0315056,0.00609237,3,13.1064,2007,S2,6.4,191.3,389,0.13437,0.019625017,0.005354129,0.146052073,0.01924348,0.003178423,0.001504989,1.013276777,0.175623945,0.099686832,30.58,4.56,0.475455164,0.060988736,0.024755667,0.110029915,0.088195388,0.48,0.00509937
CE24460,CI38457511,0.523445,0.0408151,0.0209048,3,13.1064,2007,S2,7.1,224.1,389,0.202918,0.026600489,0.026250613,0.131089846,0.029503484,0.005352319,0.014503468,1.965959559,0.386464229,1.386774573,38.42,19.2,0.948939502,0.092882037,0.053631378,0.190312378,0.131567815,0.49,0.015610452
CE24517,ci14607652,0.0833037,0.0166914,0.0155068,3,12.4968,1974,RM1,7.2,255.7,339,0.0732911,0.016863745,0.02292183,0.230092673,0.014213546,0.005028451,0.008051767,0.566020908,0.197832516,0.323803181,31.26,0,0.206321199,0.052277856,0.01279355,0.04813932,0.063282224,0.76,0.001843871
CE24517,ci38450263,0.131213,0.00715196,0.000957283,3,12.4968,1974,RM1,5.4,130.4,339,0.0773785,0.005879338,0.000962343,0.075981548,0.008686687,0.000893636,0.000249709,0.283351965,0.034208767,0.009610266,17.12,0,0.34511334,0.01455966,0.006374954,0.077670189,0.022032183,0.16,0.000749119
CE24517,ci38457487,0.129933,0.00506411,0.000241999,3,12.4968,1974,RM1,5,127.7,339,0.0873084,0.003881194,0.000183514,0.044453847,0.007158498,0.000341517,4.18E-05,0.177400114,0.011034802,0.001618941,9.06,0,0.443122632,0.015596994,0.004769015,0.074433169,0.012602121,0.22,0.000508729
